n,k,requested,mapping,resolved,timing,timing_boundary,execution_schedule,cache,rotations,packed_ring_bytes,total_ring_bytes,samples,iterations_per_sample,calibration_us,median_us,p10_us,p90_us,effective_gbps,effective_tflops,correct,speedup_vs_old,latency_ratio_vs_auto
3584,3584,old,old,old,integration,single HIP-event interval around one Python/AITER entry call; includes a possible device idle gap before host launch submission,cyclic_latin_by_sample_round,rotating,10,68239360,68268032,30,1,,52.460500970482826,51.32899843156338,66.14590361714363,130.62414336942103,0.48970390150209725,True,1.0,1.7032630277514778
3584,3584,auto,auto,split8,integration,single HIP-event interval around one Python/AITER entry call; includes a possible device idle gap before host launch submission,cyclic_latin_by_sample_round,rotating,10,68239360,68268032,30,1,,30.799999833106995,29.472099244594574,63.65110203623772,222.48727393284318,0.8340945499741735,True,1.7032630277514778,1.0
3584,3584,selected,split8,split8,integration,single HIP-event interval around one Python/AITER entry call; includes a possible device idle gap before host launch submission,cyclic_latin_by_sample_round,rotating,10,68239360,68268032,30,1,,30.76049964874983,29.432900808751583,56.8470012396574,222.77297437457278,0.8351656277808251,True,1.705450222510119,0.9987175264749609
3584,3584,old,old,old,batched,"HIP events around repeated Python/AITER entry calls, divided by iterations; first event/submission gap is amortized, but host queue starvation is not excluded",cyclic_latin_by_sample_round,rotating,10,68239360,68268032,30,2619,38.19559097290039,34.77794389407932,34.684984135054236,34.86155203709669,197.03890548764167,0.7386897879369327,True,1.0,2.368674736251577
3584,3584,auto,auto,split8,batched,"HIP events around repeated Python/AITER entry calls, divided by iterations; first event/submission gap is amortized, but host queue starvation is not excluded",cyclic_latin_by_sample_round,rotating,10,68239360,68268032,30,6226,16.06235980987549,14.682448105608348,14.500797442060325,14.860277454683798,466.72107748723903,1.7497158386132476,True,2.368674736251577,1.0
3584,3584,selected,split8,split8,batched,"HIP events around repeated Python/AITER entry calls, divided by iterations; first event/submission gap is amortized, but host queue starvation is not excluded",cyclic_latin_by_sample_round,rotating,10,68239360,68268032,30,6006,16.652170419692993,14.693576178866707,14.542995355068108,14.817779063384533,466.36760966713354,1.7483907040240656,True,2.3668808376342927,1.0007579167437417
3584,18944,old,old,old,integration,single HIP-event interval around one Python/AITER entry call; includes a possible device idle gap before host launch submission,cyclic_latin_by_sample_round,rotating,2,72138752,72228864,30,1,,294.98350620269775,289.6349906921387,331.89510405063635,122.58138926300857,0.46033282927585645,True,1.0,2.4390694761500997
3584,18944,auto,auto,split8,integration,single HIP-event interval around one Python/AITER entry call; includes a possible device idle gap before host launch submission,cyclic_latin_by_sample_round,rotating,2,72138752,72228864,30,1,,120.94100192189217,110.88190153241158,143.92690062522888,298.9845248954778,1.1227837527565565,True,2.4390694761500997,1.0
3584,18944,selected,split8,split8,integration,single HIP-event interval around one Python/AITER entry call; includes a possible device idle gap before host launch submission,cyclic_latin_by_sample_round,rotating,2,72138752,72228864,30,1,,113.88149857521057,110.67699939012527,136.63809746503833,317.51854737070613,1.192385011603268,True,2.5902671627374336,0.9416285359431629
3584,18944,old,old,old,batched,"HIP events around repeated Python/AITER entry calls, divided by iterations; first event/submission gap is amortized, but host queue starvation is not excluded",cyclic_latin_by_sample_round,rotating,2,72138752,72228864,30,340,294.89587783813477,181.9565773010254,181.41920987297507,186.64814107558308,198.72591876785225,0.7462802060480106,True,1.0,2.7223011917335476
3584,18944,auto,auto,split8,batched,"HIP events around repeated Python/AITER entry calls, divided by iterations; first event/submission gap is amortized, but host queue starvation is not excluded",cyclic_latin_by_sample_round,rotating,2,72138752,72228864,30,938,106.67192459106445,66.83925270780063,66.66803705666874,69.86246658032383,540.9918054900684,2.031599494291657,True,2.7223011917335476,1.0
3584,18944,selected,split8,split8,batched,"HIP events around repeated Python/AITER entry calls, divided by iterations; first event/submission gap is amortized, but host queue starvation is not excluded",cyclic_latin_by_sample_round,rotating,2,72138752,72228864,30,942,106.24311447143555,69.59496435339537,66.77975057290112,70.28770365785894,519.5704651328823,1.951155421396162,True,2.6145078022753263,1.0412289415867921
4096,4096,old,old,old,integration,single HIP-event interval around one Python/AITER entry call; includes a possible device idle gap before host launch submission,cyclic_latin_by_sample_round,rotating,8,71303168,71335936,30,1,,67.00050085783005,63.252898305654526,75.47599896788599,133.51637503400187,0.5008086741202121,True,1.0,1.812784105670036
4096,4096,auto,auto,split8,integration,single HIP-event interval around one Python/AITER entry call; includes a possible device idle gap before host launch submission,cyclic_latin_by_sample_round,rotating,8,71303168,71335936,30,1,,36.96000017225742,35.972900316119194,44.5150014013052,242.03636250831818,0.9078580044268052,True,1.812784105670036,1.0
4096,4096,selected,split8,split8,integration,single HIP-event interval around one Python/AITER entry call; includes a possible device idle gap before host launch submission,cyclic_latin_by_sample_round,rotating,8,71303168,71335936,30,1,,37.12050057947636,34.57600139081479,43.71010065078735,240.98985359443105,0.9039326376582323,True,1.8049460490000535,1.0043425434651216
4096,4096,old,old,old,batched,"HIP events around repeated Python/AITER entry calls, divided by iterations; first event/submission gap is amortized, but host queue starvation is not excluded",cyclic_latin_by_sample_round,rotating,8,71303168,71335936,30,1906,52.46935844421387,42.1579747235037,42.050826962321906,42.52548097688529,212.19387455566405,0.7959213463186813,True,1.0,2.353961294805193
4096,4096,auto,auto,split8,batched,"HIP events around repeated Python/AITER entry calls, divided by iterations; first event/submission gap is amortized, but host queue starvation is not excluded",cyclic_latin_by_sample_round,rotating,8,71303168,71335936,30,4324,23.12743902206421,17.909374642879406,17.825983102182676,18.431767790985813,499.4961676987816,1.8735680429434154,True,2.353961294805193,1.0
4096,4096,selected,split8,split8,batched,"HIP events around repeated Python/AITER entry calls, divided by iterations; first event/submission gap is amortized, but host queue starvation is not excluded",cyclic_latin_by_sample_round,rotating,8,71303168,71335936,30,4443,22.508039474487305,18.362885414413736,17.844633677240267,18.441214895237678,487.16004038113766,1.8272962686823628,True,2.2958251806337735,1.0253225352965991
4096,12288,old,old,old,integration,single HIP-event interval around one Python/AITER entry call; includes a possible device idle gap before host launch submission,cyclic_latin_by_sample_round,rotating,3,80216064,80281600,30,1,,201.52200013399124,198.30999374389648,222.37909436225897,133.00892201436054,0.49951516922752526,True,1.0,2.558668337329229
4096,12288,auto,auto,split8,integration,single HIP-event interval around one Python/AITER entry call; includes a possible device idle gap before host launch submission,cyclic_latin_by_sample_round,rotating,3,80216064,80281600,30,1,,78.76050099730492,76.99299827218056,99.65400025248528,340.325717340437,1.2780936475181204,True,2.558668337329229,1.0
4096,12288,selected,split8,split8,integration,single HIP-event interval around one Python/AITER entry call; includes a possible device idle gap before host launch submission,cyclic_latin_by_sample_round,rotating,3,80216064,80281600,30,1,,79.00099828839302,76.88099890947342,98.96200075745583,339.28968722839704,1.2742028351658141,True,2.550879159758659,1.003053526679526
4096,12288,old,old,old,batched,"HIP events around repeated Python/AITER entry calls, divided by iterations; first event/submission gap is amortized, but host queue starvation is not excluded",cyclic_latin_by_sample_round,rotating,3,80216064,80281600,30,507,197.39681243896484,123.22791887693387,122.9424523648896,124.8974877231455,217.51746068818244,0.8168870895282354,True,1.0,2.5249333610834896
4096,12288,auto,auto,split8,batched,"HIP events around repeated Python/AITER entry calls, divided by iterations; first event/submission gap is amortized, but host queue starvation is not excluded",cyclic_latin_by_sample_round,rotating,3,80216064,80281600,30,1352,74.01639938354492,48.80442421817215,48.568538801204525,50.33950128498867,549.2170931097584,2.0625854645882367,True,2.5249333610834896,1.0
4096,12288,selected,split8,split8,batched,"HIP events around repeated Python/AITER entry calls, divided by iterations; first event/submission gap is amortized, but host queue starvation is not excluded",cyclic_latin_by_sample_round,rotating,3,80216064,80281600,30,1363,73.41598987579346,50.125494304161606,48.565386116548396,50.71879307837147,534.7423376486207,2.008225502758634,True,2.4583881034506434,1.0270686542696177
4096,14336,old,old,old,integration,single HIP-event interval around one Python/AITER entry call; includes a possible device idle gap before host launch submission,cyclic_latin_by_sample_round,rotating,3,93585408,93659136,30,1,,233.74249786138535,228.28290313482285,264.5961105823517,133.77483464108076,0.5024354281934854,True,1.0,2.4860669205901917
4096,14336,auto,auto,split8,integration,single HIP-event interval around one Python/AITER entry call; includes a possible device idle gap before host launch submission,cyclic_latin_by_sample_round,rotating,3,93585408,93659136,30,1,,94.02099996805191,88.52899894118309,111.20890080928802,332.5731912086138,1.2490880977643928,True,2.4860669205901917,1.0
4096,14336,selected,split8,split8,integration,single HIP-event interval around one Python/AITER entry call; includes a possible device idle gap before host launch submission,cyclic_latin_by_sample_round,rotating,3,93585408,93659136,30,1,,90.46100080013275,87.67300248146057,126.35799795389175,345.6612653345099,1.2982446685448084,True,2.5839035141543816,0.9621361273637928
4096,14336,old,old,old,batched,"HIP events around repeated Python/AITER entry calls, divided by iterations; first event/submission gap is amortized, but host queue starvation is not excluded",cyclic_latin_by_sample_round,rotating,3,93585408,93659136,30,436,229.44889068603516,143.58030546695815,143.34867372425325,145.04310100450428,217.77961746428963,0.8179430432192969,True,1.0,2.5136325049583523
4096,14336,auto,auto,split8,batched,"HIP events around repeated Python/AITER entry calls, divided by iterations; first event/submission gap is amortized, but host queue starvation is not excluded",cyclic_latin_by_sample_round,rotating,3,93585408,93659136,30,1192,83.95292282104492,57.12064320609073,56.9476588460423,58.78889096663302,547.4179253756341,2.0560082206405794,True,2.5136325049583523,1.0
