n,k,requested,mapping,resolved,timing,timing_boundary,cache,rotations,packed_ring_bytes,total_ring_bytes,samples,iterations_per_sample,calibration_us,median_us,p10_us,p90_us,effective_gbps,effective_tflops,correct,speedup_vs_old
3584,18944,selected,split8,split8,integration,single HIP-event interval around one Python/AITER entry call; includes a possible device idle gap before host launch submission,rotating,2,72138752,72228864,30,1,,110.44100299477577,109.47299972176552,122.57399782538415,327.4099928421554,1.2295305938721268,True,2.7464664454877155
3584,18944,selected,split8,split8,batched,"HIP events around repeated Python/AITER entry calls, divided by iterations; first event/submission gap is amortized, but host queue starvation is not excluded",rotating,2,72138752,72228864,30,943,106.06743812561035,69.61835454655605,69.49366208477971,104.49798761976612,519.3959012033096,1.950499877287281,True,2.6374149816003984
4096,4096,old,old,old,integration,single HIP-event interval around one Python/AITER entry call; includes a possible device idle gap before host launch submission,rotating,8,71303168,71335936,30,1,,56.12049996852875,50.592099875211716,70.40089666843414,159.4010032878636,0.5978997339442209,True,1.0
4096,4096,old,old,old,batched,"HIP events around repeated Python/AITER entry calls, divided by iterations; first event/submission gap is amortized, but host queue starvation is not excluded",rotating,8,71303168,71335936,30,2015,49.64448928833008,42.88575051736004,42.35217489616451,43.15227801983174,208.5929217066825,0.7824144755591314,True,1.0
4096,4096,auto,auto,split8,integration,single HIP-event interval around one Python/AITER entry call; includes a possible device idle gap before host launch submission,rotating,8,71303168,71335936,30,1,,30.260500498116016,23.908099718391895,37.223999947309494,295.62181235425857,1.108852512273849,True,1.8545793706228602
4096,4096,auto,auto,split8,batched,"HIP events around repeated Python/AITER entry calls, divided by iterations; first event/submission gap is amortized, but host queue starvation is not excluded",rotating,8,71303168,71335936,30,5127,19.506590366363525,18.390916675904677,18.36243271013903,18.420462536723477,486.4175156489283,1.824511120968874,True,2.331898473203779
4096,4096,selected,split8,split8,integration,single HIP-event interval around one Python/AITER entry call; includes a possible device idle gap before host launch submission,rotating,8,71303168,71335936,30,1,,32.80000016093254,30.59610016644001,43.20800043642521,272.73365719842315,1.0230009705904224,True,1.710990844304105
4096,4096,selected,split8,split8,batched,"HIP events around repeated Python/AITER entry calls, divided by iterations; first event/submission gap is amortized, but host queue starvation is not excluded",rotating,8,71303168,71335936,30,3549,28.184680938720703,18.370240599244504,18.331472569366483,23.28549662117355,486.9649883827814,1.8265646450694806,True,2.3345230720126637
4096,12288,old,old,old,integration,single HIP-event interval around one Python/AITER entry call; includes a possible device idle gap before host launch submission,rotating,3,80216064,80281600,30,1,,205.30200004577637,198.5980048775673,217.76200085878372,130.55997503201837,0.4903181458415165,True,1.0
4096,12288,old,old,old,batched,"HIP events around repeated Python/AITER entry calls, divided by iterations; first event/submission gap is amortized, but host queue starvation is not excluded",rotating,3,80216064,80281600,30,498,200.91241836547852,126.39221130125972,124.73328065680691,201.19450274241495,212.07180192544703,0.7964359113874979,True,1.0
4096,12288,auto,auto,split8,integration,single HIP-event interval around one Python/AITER entry call; includes a possible device idle gap before host launch submission,rotating,3,80216064,80281600,30,1,,78.660998493433,76.99299827218056,87.30500042438507,340.7562135412983,1.2797103765267341,True,2.6099592425452873
4096,12288,auto,auto,split8,batched,"HIP events around repeated Python/AITER entry calls, divided by iterations; first event/submission gap is amortized, but host queue starvation is not excluded",rotating,3,80216064,80281600,30,1375,72.77193069458008,49.99809681285511,49.87152876420455,71.7264393199574,536.104886158553,2.0133425553533923,True,2.527940448900502
4096,12288,selected,split8,split8,integration,single HIP-event interval around one Python/AITER entry call; includes a possible device idle gap before host launch submission,rotating,3,80216064,80281600,30,1,,77.08049938082695,75.6200022995472,87.9430003464222,347.7432582211228,1.3059502313634341,True,2.6634752199963474
4096,12288,selected,split8,split8,batched,"HIP events around repeated Python/AITER entry calls, divided by iterations; first event/submission gap is amortized, but host queue starvation is not excluded",rotating,3,80216064,80281600,30,1360,73.57274055480957,50.037608427159924,49.822722042308136,71.87961746664608,535.6815571835149,2.01175274287012,True,2.525944290188243
4096,14336,old,old,old,integration,single HIP-event interval around one Python/AITER entry call; includes a possible device idle gap before host launch submission,rotating,3,93585408,93659136,30,1,,238.9424964785576,235.91799437999725,249.20209944248202,130.8635527829016,0.49150115082412293,True,1.0
4096,14336,old,old,old,batched,"HIP events around repeated Python/AITER entry calls, divided by iterations; first event/submission gap is amortized, but host queue starvation is not excluded",rotating,3,93585408,93659136,30,426,235.12908935546875,146.74421767113915,145.03585743792178,227.4090350513727,213.08413030675612,0.8003075955141881,True,1.0
4096,14336,auto,auto,split8,integration,single HIP-event interval around one Python/AITER entry call; includes a possible device idle gap before host launch submission,rotating,3,93585408,93659136,30,1,,89.96099978685379,88.5761022567749,105.59099987149239,347.58244210364353,1.3054602803242952,True,2.6560675964550007
