n,k,requested,resolved,median_us,p10_us,p90_us,mean_us,sample_stddev_us,effective_gbps,effective_tflops,speedup_vs_old
4096,4096,old,old,72.52100110054016,71.43999636173248,73.40099662542343,72.60740570502706,1.547925584761572,123.35273733463906,0.46268572538707103,1.0
4096,4096,auto,split8,26.600999757647514,26.240000501275063,27.840999886393547,26.852940513503434,0.7816079962545531,336.2905184579844,1.2613974025676777,2.72625095903364
4096,4096,selected,split8,26.600999757647514,26.280000805854797,27.799999341368675,26.940861311141806,1.0809665861750295,336.2905184579844,1.2613974025676777,2.72625095903364
4096,12288,old,old,193.52200627326965,191.2820041179657,196.44199311733246,193.81846428507626,3.8292882453495323,138.50736934873515,0.5201645949135872,1.0
4096,12288,auto,split8,58.24099853634834,57.5999990105629,59.039998799562454,58.3312772952094,0.6478939746135971,460.22947191180833,1.7283923443925124,3.3227796764592235
4096,12288,selected,split8,58.35999920964241,57.5999990105629,59.04100090265274,58.543138316657284,1.202409026026525,459.29102746751454,1.7248680151347247,3.3160042648063537
4096,14336,old,old,213.6020064353943,211.32199466228485,216.56200289726257,213.8792370805646,2.202830934213555,146.3884376453998,0.5498099664879359,1.0
4096,14336,auto,split8,63.400998711586,62.6010000705719,64.64000046253204,63.560633818701945,0.9283411786986058,493.1919786034203,1.8523448271570955,3.369063749406842
4096,14336,selected,split8,63.40000033378601,62.6010000705719,64.7210031747818,63.67309878368189,1.3806753560757947,493.1997450374893,1.852373996556837,3.3691168030099403
8192,3072,old,old,52.12099850177765,51.7599992454052,52.56099998950958,52.217207812141666,0.5383603359849269,257.37035716118305,0.9656692973424785,1.0
8192,3072,auto,split4,33.04100036621094,32.76100009679794,36.52000054717064,33.604722875769774,1.8128107459269849,405.99255020492984,1.5233088418070775,1.577464299630549
8192,3072,selected,split4,33.03999826312065,32.83999860286713,34.44100171327591,33.55482172700438,1.6403661401364267,406.00486395827676,1.52335504376162,1.5775121441200337
12288,4096,old,old,73.96099716424942,73.2010006904602,75.00100135803223,74.04841585914687,0.7375512918464543,362.4102571315301,1.3610321637017853,1.0
12288,4096,auto,split8,55.60100078582764,55.000998079776764,56.48000165820122,55.788702930849375,0.8338279914830743,482.0816823648296,1.8104583474630276,1.3302098185092674
12288,4096,selected,split8,55.67999929189682,55.1999993622303,56.2409982085228,55.76659388618894,0.635509871782321,481.3977072715382,1.8078896781640164,1.3283225234346052
14336,4096,old,old,75.0809982419014,74.28000122308731,76.08100026845932,75.24069295366212,1.0432524794285372,416.4684105458442,1.5641842110519315,1.0
14336,4096,auto,split8,60.24099886417389,59.84099954366684,60.920000076293945,60.38792058825493,0.8346258029581719,519.0628407490767,1.9495113662506585,1.2463438465087113
14336,4096,selected,split8,60.28100103139877,59.87999960780144,61.04100123047829,60.52651488692454,0.9591347161055032,518.718393274738,1.948217680373761,1.2455167790394472
18944,3584,old,old,84.20100063085556,83.20099860429764,85.00099927186966,84.16477192451458,0.771836727313354,429.44249746539606,1.6126957041201642,1.0
18944,3584,auto,split8,71.47999852895737,70.91999799013138,72.56100326776505,71.75951443686344,1.203463615167863,505.8686170139102,1.899700542732799,1.177965897645406
18944,3584,selected,split8,71.40100002288818,70.96000015735626,72.03999906778336,71.47197012263949,0.44767360933779593,506.42831316660516,1.9018023831104773,1.1792692063677572
